"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-12","9.40"," 0924"," 0917","0.06",,,"24","31","16","    0","  360","   10","21.9","25.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-13","8.28"," 0306"," 0305","0.00",,"3.0","26","40","12","    0","  290","  290","21.9","25.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-14","6.71"," 0406"," 1705","0.00",,"2.0","25","45","4","    0","  150","  340","17.9","21.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-15","5.82"," 2207"," 2206","0.00",,"1.0","27","44","9","    0","  340","  340","23.0","25.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-16","3.36"," 1921"," 1921","0.00",,"1.0","29","45","13","    0","  350","  360","12.1","14.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-17","4.92"," 2207"," 2207","0.00",,"1.0","37","48","25","    0","  170","  170","12.1","14.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-18","7.38"," 1524"," 1436","0.00",,,"43","57","28","    0","  290","  290","15.0","17.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-19","7.38"," 1600"," 1518","0.00",,,"50","65","34","    0","  320","  320","15.0","19.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-20","8.05"," 1929"," 1927","0.00",,,"53","68","37","    0","  140","  140","16.1","17.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-21","7.83"," 0911"," 0909","0.00",,,"49","61","37","    0","  310","  300","23.9","29.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-22","6.93"," 1446"," 1412","0.00",,,"37","47","27","    0","  160","  140","14.1","16.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-23","7.16"," 1921"," 1920","0.00",,,"47","67","27","    0","  130","  130","15.0","16.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-24","5.37"," 1538"," 1537","0.00",,,"47","64","30",,"  330","  330","13.0","14.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-25","5.37"," 1209"," 1215","0.00",,,"43","57","29","    0","   10","   20","15.0","17.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-26","4.03"," 1531"," 1447","0.00","0.0","0.0","39","51","26","    0","   20","   10","10.1","13.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-27","4.25"," 1630"," 1630","0.00","0.0","0.0","40","51","29","    0","  340","  340","14.1","15.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-28","3.13"," 1601"," 1446","0.00","0.0","0.0","40","50","30","    0","   60","   30","10.1","14.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-29","5.59"," 1538"," 1553","0.05","0.0","0.0","35","42","27",,"   70","  110","15.0","17.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-30","3.58"," 2357"," 2352","0.03",,,"34","37","30","    0","  340","  340","10.1","13.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-31","7.16"," 0023"," 0018","0.18",,"3.0","28","34","21","    0","   10","   10","23.9","30.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-01","6.26"," 2303"," 2303","0.00",,"2.0","26","36","16","    0","  310","  310","15.0","16.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-02","5.82"," 0626"," 0627","0.00",,"1.0","31","41","21","    0","  220","  220","13.0","13.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-03","4.03"," 2101"," 2101","0.00",,,"36","50","21","    0","  160","  160","10.1","12.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-04","5.14"," 2111"," 2109","0.00",,,"42","56","27","    0","  190","  190","13.0","14.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-05","8.05"," 0930"," 1515","0.00",,,"43","58","28","    0","  230","   20","17.9","21.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-06","4.03"," 0335"," 0338","0.00",,,"30","37","23","    0","   30","   20","14.1","15.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-07","4.47"," 1930"," 1653","0.00",,,"32","37","26","    0","  340","  320","13.0","15.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-08","5.59"," 2142"," 2140","0.01",,,"27","34","20","    0","  160","  150","10.1","12.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-09","6.26"," 1443"," 1332","0.00",,,"30","44","15","    0","  310","  310","15.0","19.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-10","6.71"," 1509"," 1148","0.00",,,"38","55","20","    0","   60","  320","14.1","17.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-11","4.70"," 0029"," 1431","0.00","0.0","0.0","43","58","27",,"  140","   10","14.1","15.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-12","5.37"," 2006"," 1957","0.00",,,"46","56","35","    0","  300","  300","19.9","25.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-13","11.86"," 0920"," 0749","0.00",,,"44","58","29","    0","  290","  300","23.0","29.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-14","8.50"," 0033"," 0033","0.00",,,"47","61","32","    0","  190","  190","19.9","21.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-15","7.83"," 0440"," 0439","0.01",,,"29","34","23","    0","  330","  330","16.1","19.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-16","6.93"," 0159"," 0446","0.02",,"1.0","23","28","17","    0","  140","  200","15.0","17.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-17","7.16"," 1651"," 1650","0.00",,,"34","52","16","    0","   80","   70","16.1","17.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-18","4.03"," 0023"," 1758","0.00","0.0","0.0","31","44","18",,"  170","   10","10.1","12.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-19","11.63"," 1429"," 1429","0.00",,,"43","62","24","    0","  230","  230","30.0","34.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-20","9.17"," 1627"," 1619","0.00","0.0","0.0","42","56","28",,"  310","  320","25.9","31.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-21","8.72"," 1440"," 1439","0.00",,,"42","57","26","    0","  130","  150","17.9","23.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-22","5.59"," 1637"," 1610","0.00","0.0","0.0","36","46","26",,"  160","  160","16.1","19.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-23","5.59"," 0950"," 0958","0.00","0.0","0.0","31","40","22",,"  330","  330","16.1","17.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-24","3.80"," 1741"," 1236","0.00","0.0","0.0","33","49","17",,"   30","   40","10.1","17.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-25","7.61"," 1512"," 1512","0.00","0.0","0.0","36","51","20",,"  160","  160","19.9","23.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-26","7.61"," 1747"," 1347","0.00","0.0","0.0","37","49","24",,"  230","  300","16.1","19.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-27","7.61"," 0143"," 0033","0.00","0.0","0.0","35","45","24",,"  350","  340","17.9","23.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-02-28","7.61"," 2233"," 2240","0.00",,,"32","47","17","    0","  180","  190","17.9","21.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-01","6.49"," 1836"," 1836","0.01","0.0","0.0","38","51","25",,"  280","  280","19.9","23.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-02","6.93"," 1200"," 1404","0.00","0.0","0.0","37","51","22",,"  340","   40","16.1","19.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-03","5.82"," 1602"," 1602","0.00","0.0","0.0","38","54","22",,"   20","   20","14.1","17.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-04","6.26"," 0859"," 0924","0.00","0.0","0.0","42","58","25",,"  230","  230","15.0","17.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-05","8.95"," 1535"," 1534","0.00","0.0","0.0","44","62","25",,"  160","  160","25.9","31.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-06","9.17"," 2127"," 2126","0.00","0.0","0.0","47","64","29",,"   20","   20","32.0","36.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-07","7.16"," 0312"," 0324","0.00","0.0","0.0","38","52","24",,"   20","   20","21.0","23.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-08","10.29"," 0958"," 0958","0.08","0.8","0.0","38","48","28",,"   10","  360","45.0","53.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-09","8.50"," 1424"," 1432","0.00","0.0","0.0","44","63","24",,"  300","  300","23.0","28.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-10","9.40"," 0259"," 0258","0.00","0.0","0.0","40","52","27",,"   10","   10","34.9","42.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-11","10.29"," 1527"," 1533","0.00","0.0","0.0","45","67","23",,"  300","  310","21.9","25.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-12","12.53"," 1315"," 1314","0.03","0.4","0.0","48","67","28",,"  330","  340","30.0","36.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-13","8.05"," 0914"," 0913","0.33","5.9","5.0","25","28","22",,"   20","   20","17.0","21.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-14","7.16"," 1603"," 1603","0.05","1.0","2.0","22","27","17",,"  100","  100","15.0","17.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-15","7.38"," 2359"," 2358","0.00","0.0","0.0","26","36","15",,"  210","  210","13.0","14.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-16","10.51"," 1615"," 1215","0.00","0.0","0.0","36","48","23",,"  310","  290","21.0","25.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-17","13.87"," 1516"," 1515","0.00","0.0","0.0","45","55","35",,"  270","  270","25.1","31.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-18","8.50"," 0046"," 0035","0.00","0.0","0.0","35","42","28",,"  320","  300","23.0","29.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-19","8.05"," 0333"," 0309","0.00","0.0","0.0","42","57","27",,"  180","  180","21.0","23.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-20","7.83"," 2051"," 1328","0.05","0.0","0.0","43","56","29",,"  230","  130","17.9","25.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-21","12.08"," 1445"," 1344","0.21","1.0","0.0","41","48","33",,"   10","   10","28.0","34.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-22","8.28"," 2327"," 2327","0.00","0.0","0.0","39","51","26",,"  160","  160","23.9","29.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-23","8.05"," 0036"," 0055","0.13","0.0","0.0","39","49","28",,"  160","  160","28.0","32.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-24","6.71"," 1810"," 1808","0.04","0.4","0.0","31","36","25",,"   20","   20","15.0","17.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-25","5.59"," 1442"," 1548","0.05","0.5","0.0","27","30","23",,"  310","  300","10.1","12.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-26","7.83"," 0647"," 0840","0.04","0.4","1.0","32","37","27",,"  330","  330","15.0","16.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-27","7.61"," 1556"," 1555","0.00","0.0","0.0","44","63","24",,"  310","  310","15.0","17.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-28","14.09"," 1546"," 1627","0.00","0.0","0.0","56","73","39",,"  230","  240","29.1","34.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-29","11.86"," 1223"," 1222","0.00","0.0","0.0","41","52","29",,"   10","   20","23.9","31.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-30","10.07"," 2033"," 2337","0.22","2.2","0.0","38","49","26",,"  330","   10","21.9","29.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-03-31","14.99"," 0732"," 0801","0.03","0.3","2.0","32","41","23",,"  350","   10","30.0","36.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-01","10.07"," 1735"," 1420","0.00","0.0","0.0","42","60","23",,"  280","  260","19.9","25.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-02","7.38"," 1628"," 1429","0.00","0.0","0.0","48","64","32",,"  110","  100","16.1","19.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-03","8.95"," 1218"," 1350","0.00","0.0","0.0","55","72","38",,"  230","  190","17.0","23.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-04","13.65"," 2302"," 1914","0.00","0.0","0.0","56","69","43",,"  340","  290","25.9","32.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-05","23.26"," 0931"," 0852","0.46","0.0","0.0","43","51","35",,"  330","  320","42.9","51.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-06","8.28"," 1147"," 1146","0.00","0.0","0.0","45","59","31",,"  340","  340","19.9","25.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-07","12.97"," 1705"," 1655","0.00","0.0","0.0","51","70","31",,"  160","  160","32.0","40.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-08","14.54"," 1433"," 1433","0.00","0.0","0.0","54","68","39",,"  190","  200","51.9","59.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-09","10.07"," 1359"," 1358","0.02","0.0","0.0","46","60","31",,"  190","  190","30.0","36.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-10","20.58"," 1009"," 1009","1.55","15.1","1.0","33","38","27",,"  350","  350","36.0","38.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-11","10.29"," 0401"," 0403","0.06","0.6","15.0","35","41","28",,"  340","  330","28.0","33.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-12","7.83"," 2049"," 2047","0.00","0.0","7.0","38","50","25",,"  190","  190","17.9","19.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-13","10.51"," 2358"," 2359","0.00","0.0","2.0","44","58","30",,"  170","  170","31.1","36.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-14","12.75"," 2358"," 2359","0.00","0.0","0.0","55","69","40",,"  170","  170","31.1","36.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-15","7.16"," 0000"," 2359","0.00","0.0","0.0","43","49","36",,"  330","  330","23.0","28.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-16","7.61"," 1759"," 1759","0.00","0.0","0.0","51","69","33",,"  140","  140","25.1","29.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-17","5.59"," 1216"," 1215","0.00","0.0","0.0","56","70","41",,"   40","   20","17.9","25.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-18","10.29"," 1556"," 1555","0.00","0.0","0.0","58","75","40",,"  200","  200","33.1","38.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-19","8.50"," 2051"," 2051","0.00","0.0","0.0","53","65","41",,"  330","  330","21.0","23.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-20","9.17"," 2002"," 2015","0.05","0.0","0.0","45","53","36",,"  350","  340","21.0","23.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-21","10.74"," 1750"," 1749","0.00","0.0","0.0","47","62","32",,"  330","  330","31.1","36.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-22","7.61"," 1129"," 1526","0.00","0.0","0.0","41","55","27",,"   30","   40","16.1","19.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-23","9.17"," 2319"," 2309","0.00","0.0","0.0","51","66","36",,"  140","  140","17.9","23.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-24","6.93"," 0035"," 0039","0.50","0.0","0.0","42","47","37",,"  150","  160","19.9","21.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-25","10.74"," 1006"," 1331","0.23","0.0","0.0","45","52","37",,"  330","   20","28.0","36.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-26","8.95"," 1755"," 1752","0.00","0.0","0.0","46","61","31",,"  290","  290","25.1","33.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-27","11.18"," 1159"," 1407","0.24","0.0","0.0","48","62","33",,"  350","   10","23.9","30.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-28","8.95"," 1245"," 1246","0.04","0.4","0.0","31","37","25",,"  330","  320","19.9","21.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-29","5.37"," 1121"," 1324","0.05","0.5","0.0","28","31","24",,"   60","   70","10.1","12.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-04-30","8.72"," 1119"," 1116","0.09","0.9","0.0","38","46","30",,"  330","  340","23.0","25.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-01","5.82"," 1519"," 1516","0.03","0.0","0.0","36","40","32",,"  340","  340","15.0","17.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-02","5.37"," 1911"," 1615","0.00","0.0","0.0","41","50","32",,"  180","  330","14.1","17.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-03","7.38"," 1812"," 1811","0.00","0.0","0.0","45","59","30",,"  130","  130","17.0","19.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-04","7.83"," 0240"," 1554","0.00","0.0","0.0","53","66","40",,"  220","  350","17.0","19.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-05","6.26"," 1737"," 1736","0.00","0.0","0.0","55","72","38",,"  230","  220","23.0","28.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-06","10.96"," 1416"," 1414","0.04",,,"60","74","46",,"  180","  180","32.0","40.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-07","7.83"," 1154"," 1153","0.01",,,"52","62","42",,"  300","  300","21.0","23.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-08","10.96"," 1704"," 1704","0.00","0.0","0.0","55","67","43",,"  330","  330","21.9","25.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-09","9.17"," 2111"," 2110","0.00","0.0","0.0","56","75","37",,"  190","  200","28.0","32.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-10","12.75"," 1931"," 1927","0.00","0.0","0.0","58","77","38",,"  330","  330","25.1","31.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-11","9.40"," 1735"," 1730","0.22","0.0","0.0","44","54","34",,"  340","  340","25.9","30.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-12","7.38"," 1549"," 1253","0.00","0.0","0.0","46","61","30",,"  340","  280","17.9","23.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-13","6.49"," 1618"," 1612","0.00",,,"50","63","37",,"   40","   20","15.0","17.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-14","7.38"," 1622"," 1244","0.00",,,"52","67","37",,"  130","   90","14.1","25.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-15","8.05"," 2139"," 2107","0.00","0.0","0.0","56","72","39",,"  190","  180","16.1","21.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-16","8.72"," 2139"," 2138","0.00","0.0","0.0","63","79","46",,"  170","  160","21.9","25.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-17","11.41"," 1335"," 1334","0.00","0.0","0.0","63","75","50",,"  240","  240","28.0","34.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-18","8.95"," 0617"," 1348","0.00","0.0","0.0","62","78","45",,"  220","   50","17.9","23.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-19","6.71"," 1715"," 1714","0.00","0.0","0.0","64","82","45",,"   90","   90","16.1","17.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-20","8.72"," 1717"," 1656","0.00",,,"71","89","53",,"  150","  130","21.0","23.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-21","9.40"," 1652"," 1651","0.00",,,"72","87","56",,"   70","   70","19.9","21.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-22","11.63"," 1703"," 1638","0.00","0.0","0.0","68","85","51",,"  160","  160","25.1","30.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-23","8.50"," 1624"," 1624","0.00",,,"70","86","53",,"   30","   20","31.1","40.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-24","10.96"," 1611"," 1611","0.00","0.0","0.0","67","83","50",,"   30","   20","29.1","32.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-25","9.17"," 0440"," 0429","0.00","0.0","0.0","55","65","45",,"   30","   10","19.9","23.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-05-26","7.16"," 1818"," 1818","0.00","0.0","0.0","55","64","46",,"   70","   70","16.1","17.9",,,,,,,,,,
