"STATION","NAME","DATE","DASF","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-04",,,"0.02","0.0","0.0",,"87","50","51",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-05",,,"0.00","0.0","0.0",,"84","51","57",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-06",,,"0.00","0.0","0.0",,"89","52","58",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-07",,,"0.00","0.0","0.0",,"93","58","66",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-08",,,"0.00","0.0","0.0",,"96","65","65",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-09",,,"0.00","0.0","0.0",,"96","64","66",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-10",,,"0.00","0.0","0.0",,"96","59","61",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-11",,,"0.00","0.0","0.0",,"95","59","60",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-12",,,"0.00","0.0","0.0",,"94","60","63",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-13",,,"0.00","0.0","0.0",,"93","63","64",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-14",,,"0.00","0.0","0.0",,"94","63","64",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-15",,,"0.00","0.0","0.0",,"95","63","64",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-16",,,"0.00","0.0","0.0",,"95","62","62",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-17",,,"0.00","0.0","0.0",,"99","62","72",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-18",,,"0.00","0.0","0.0",,"83","62","62",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-19",,,"0.00","0.0","0.0",,"89","62","65",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-20",,,"0.00","0.0","0.0",,"100","65","70",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-21",,,"0.00","0.0","0.0",,"104","66","67",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-22",,,"0.00","0.0","0.0",,"101","66","67",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-23",,,"0.00","0.0","0.0",,"102","65","66",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-24",,,"0.01","0.0","0.0",,"100","65","71",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-25",,,"0.26","0.0","0.0",,"92","63","63",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-26",,,"0.22","0.0","0.0",,"85","58","58",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-27",,,"0.02","0.0","0.0",,"66","54","54",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-28",,,"0.00","0.0","0.0",,"84","53","54",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-29",,,"0.00","0.0","0.0",,"93","54","64",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-30",,,"0.00","0.0","0.0",,"98","64","69",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-31",,,"0.00","0.0","0.0",,"96","61","63",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-08-01",,,"0.00","0.0","0.0",,"92","62","64",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-08-02",,,"0.00","0.0","0.0",,"93","63","64",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-08-03",,,"0.00","0.0","0.0",,"96","63","67",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-08-04",,,"0.88","0.0","0.0",,"87","57","58",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-08-05",,,"1.15","0.0","0.0",,"61","53","58",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-08-06",,,"0.00","0.0","0.0",,"79","58","59",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-08-07",,,"0.00","0.0","0.0",,"86","54","56",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-08-08",,,"0.00","0.0","0.0",,"88","56","59",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-08-09",,,"0.00","0.0","0.0",,"92","58","61",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-08-10",,,"0.00","0.0","0.0",,"92","58","63",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-08-11",,,"0.12","0.0","0.0",,"85","62","63",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-08-12",,,"0.01","0.0","0.0",,"83","60","60",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-08-13",,,"0.06","0.0","0.0",,"77","52","52",,,,,,
